hometown_city_clean,hometown_state_clean,hometown_combined,total_players,geoid,total_pop,black_pop,median_income,pct_black,players_per_thousand
Flora,MS,"Flora, MS",1,2824940,2265,1355,31569,59.8,0.4
Friendship,MS,"Friendship, MS",1,2815140,2430,1373,28906,56.5,0.4
Philadelphia,MS,"Philadelphia, MS",3,2856960,7107,3863,37551,54.4,0.4
Poplarville,MS,"Poplarville, MS",1,2859480,2837,934,34815,32.9,0.4
Bennington,NE,"Bennington, NE",1,3104405,2257,10,87500,0.4,0.4
Aubrey,TX,"Aubrey, TX",2,4804600,5229,450,74216,8.6,0.4
Canadian,TX,"Canadian, TX",1,4812412,2379,56,49271,2.4,0.4
Hallettsville,TX,"Hallettsville, TX",1,4831868,2709,681,44000,25.1,0.4
Hooks,TX,"Hooks, TX",1,4834736,2553,228,51734,8.9,0.4
Humble,TX,"Humble, TX",7,4835348,16603,3829,57522,23.1,0.4
Jefferson,TX,"Jefferson, TX",1,4837528,2242,1217,43247,54.3,0.4
Manvel,TX,"Manvel, TX",4,4846500,10139,2206,99081,21.8,0.4
Marlin,TX,"Marlin, TX",2,4846740,5512,2572,28061,46.7,0.4
Rockdale,TX,"Rockdale, TX",2,4862672,5378,736,38636,13.7,0.4
Southlake,TX,"Southlake, TX",13,4869032,30754,245,239833,0.8,0.4
Kamas,UT,"Kamas, UT",1,4939810,2579,0,74728,0,0.4
Alabaster,AL,"Alabaster, AL",9,0100820,33133,5795,83181,17.5,0.3
Anniston,AL,"Anniston, AL",6,0101852,21455,11019,39928,51.4,0.3
Brent,AL,"Brent, AL",1,0109136,3214,1695,22304,52.7,0.3
Centre,AL,"Centre, AL",1,0113648,3497,467,38778,13.4,0.3
Grand Bay,AL,"Grand Bay, AL",1,0131024,3433,506,71167,14.7,0.3
Livingston,AL,"Livingston, AL",1,0143720,3227,1787,16321,55.4,0.3
Pike Road,AL,"Pike Road, AL",3,0159760,9193,2811,109537,30.6,0.3
Wetumpka,AL,"Wetumpka, AL",2,0181720,7025,1855,49146,26.4,0.3
Clewiston,FL,"Clewiston, FL",2,1213000,7447,784,41125,10.5,0.3
Fort Lauderdale,FL,"Fort Lauderdale, FL",54,1224000,182247,55073,66994,30.2,0.3
Gulf Breeze,FL,"Gulf Breeze, FL",2,1228000,6249,131,99256,2.1,0.3
Lake City,FL,"Lake City, FL",4,1237775,12325,3958,43396,32.1,0.3
Live Oak,FL,"Live Oak, FL",2,1240875,6771,2855,45417,42.2,0.3
Madison,FL,"Madison, FL",1,1242425,2903,1645,30781,56.7,0.3
Nokomis,FL,"Nokomis, FL",1,1248875,3481,52,43793,1.5,0.3
Orange Park,FL,"Orange Park, FL",3,1252125,8682,1968,70929,22.7,0.3
Perry,FL,"Perry, FL",2,1256150,6886,2953,43797,42.9,0.3
Ponce Inlet,FL,"Ponce Inlet, FL",1,1258200,3342,0,85278,0,0.3
Bloomingdale,GA,"Bloomingdale, GA",1,1308844,2866,291,48640,10.2,0.3
Brunswick,GA,"Brunswick, GA",4,1311560,14774,8924,29362,60.4,0.3
Cartersville,GA,"Cartersville, GA",6,1313688,22626,3217,62510,14.2,0.3
Cedartown,GA,"Cedartown, GA",3,1314500,10091,2533,28430,25.1,0.3
Conyers,GA,"Conyers, GA",5,1319336,17101,11079,47280,64.8,0.3
Fairburn,GA,"Fairburn, GA",5,1328380,16215,11628,58741,71.7,0.3
Fayetteville,GA,"Fayetteville, GA",6,1328968,18633,7265,73998,39,0.3
Gray,GA,"Gray, GA",1,1334512,3372,1032,55689,30.6,0.3
Jefferson,GA,"Jefferson, GA",4,1341988,12727,1957,82692,15.4,0.3
Nicholls,GA,"Nicholls, GA",1,1355440,3124,2023,25938,64.8,0.3
Ringgold,GA,"Ringgold, GA",1,1365324,3410,80,53218,2.3,0.3
Farmerville,LA,"Farmerville, LA",1,2225160,3382,1879,26170,55.6,0.3
Iowa,LA,"Iowa, LA",1,2237445,3329,847,55163,25.4,0.3
Lutcher,LA,"Lutcher, LA",1,2246720,3163,1729,42390,54.7,0.3
Ponchatoula,LA,"Ponchatoula, LA",2,2261615,7729,2140,36706,27.7,0.3
Sunset,LA,"Sunset, LA",1,2274060,2976,1405,38422,47.2,0.3
Vivian,LA,"Vivian, LA",1,2278890,3153,1110,20168,35.2,0.3
Walker,LA,"Walker, LA",2,2279240,6322,653,80521,10.3,0.3
Canton,MS,"Canton, MS",3,2811100,10955,8017,33634,73.2,0.3
Magee,MS,"Magee, MS",1,2844600,3984,1467,27045,36.8,0.3
Petal,MS,"Petal, MS",3,2856800,11342,1826,55407,16.1,0.3
Abernathy,TX,"Abernathy, TX",1,4800160,3359,76,69196,2.3,0.3
Colleyville,TX,"Colleyville, TX",9,4815988,25827,559,180698,2.2,0.3
DeSoto,TX,"DeSoto, TX",14,4820092,55761,37459,79570,67.2,0.3
Eastland,TX,"Eastland, TX",1,4822132,3647,87,41623,2.4,0.3
Heath,TX,"Heath, TX",3,4832984,9362,95,193767,1,0.3
Lucas,TX,"Lucas, TX",2,4845012,7437,298,159563,4,0.3
Manor,TX,"Manor, TX",4,4846440,13928,2598,91285,18.7,0.3
Mansfield,TX,"Mansfield, TX",19,4846452,71375,16116,105579,22.6,0.3
Missouri City,TX,"Missouri City, TX",21,4848804,73682,29891,88426,40.6,0.3
Orange,TX,"Orange, TX",6,4854132,19329,5645,58778,29.2,0.3
Red Oak,TX,"Red Oak, TX",4,4861196,13956,4568,86902,32.7,0.3
Spearman,TX,"Spearman, TX",1,4869476,2935,9,37188,0.3,0.3
Waller,TX,"Waller, TX",1,4876228,3337,729,36964,21.8,0.3
Woodville,TX,"Woodville, TX",1,4880212,2870,725,48250,25.3,0.3
Beaver,UT,"Beaver, UT",1,4904060,3354,11,73456,0.3,0.3
Highland,UT,"Highland, UT",5,4935190,18913,382,156136,2,0.3
Andalusia,AL,"Andalusia, AL",2,0101708,8764,2029,40516,23.2,0.2
Bessemer,AL,"Bessemer, AL",4,0105980,26171,18982,32416,72.5,0.2
Birmingham,AL,"Birmingham, AL",43,0107000,202234,138999,39403,68.7,0.2
Eufaula,AL,"Eufaula, AL",3,0124568,12753,5621,35127,44.1,0.2
Monroeville,AL,"Monroeville, AL",1,0150192,5953,3851,28718,64.7,0.2
Opelika,AL,"Opelika, AL",5,0157048,30810,11531,51074,37.4,0.2
Phenix City,AL,"Phenix City, AL",9,0159472,38216,17580,43296,46,0.2
Pleasant Grove,AL,"Pleasant Grove, AL",2,0161008,9638,5915,67000,61.4,0.2
Saraland,AL,"Saraland, AL",3,0168160,15942,2187,61216,13.7,0.2
Vestavia Hills,AL,"Vestavia Hills, AL",7,0178552,38504,2422,118539,6.3,0.2
Apopka,FL,"Apopka, FL",12,1201700,54110,13111,75736,24.2,0.2
Bartow,FL,"Bartow, FL",3,1203675,18880,4123,53593,21.8,0.2
Brooksville,FL,"Brooksville, FL",2,1208800,8735,1101,35191,12.6,0.2
Fernandina Beach,FL,"Fernandina Beach, FL",2,1222175,12697,1486,80260,11.7,0.2
Fort Pierce,FL,"Fort Pierce, FL",8,1224300,46409,20180,40323,43.5,0.2
Gifford,FL,"Gifford, FL",1,1225925,4477,3498,22353,78.1,0.2
Goulds,FL,"Goulds, FL",2,1226950,10994,4559,45836,41.5,0.2
Lake Mary,FL,"Lake Mary, FL",4,1238425,16459,1775,94770,10.8,0.2
Lake Wales,FL,"Lake Wales, FL",3,1238950,16173,3264,49226,20.2,0.2
Miami,FL,"Miami, FL",83,1245000,440807,67065,47860,15.2,0.2
Milton,FL,"Milton, FL",2,1245750,10040,395,65410,3.9,0.2
Niceville,FL,"Niceville, FL",3,1248750,15532,1239,84097,8,0.2
Orange City,FL,"Orange City, FL",2,1251825,12748,1520,45698,11.9,0.2
Palmetto,FL,"Palmetto, FL",2,1254250,13304,2285,50762,17.2,0.2
Pensacola,FL,"Pensacola, FL",11,1255925,53845,13361,59119,24.8,0.2
Quincy,FL,"Quincy, FL",2,1259325,8038,4901,31756,61,0.2
Sarasota,FL,"Sarasota, FL",10,1264175,53786,8357,62615,15.5,0.2
South Miami,FL,"South Miami, FL",2,1267550,11997,1378,67110,11.5,0.2
St. Augustine,FL,"St. Augustine, FL",3,1262500,13994,896,67269,6.4,0.2
West Park,FL,"West Park, FL",3,1276658,15074,7545,52102,50.1,0.2
Winter Garden,FL,"Winter Garden, FL",7,1278250,45978,6898,90157,15,0.2
Winter Park,FL,"Winter Park, FL",6,1278300,29672,1630,88688,5.5,0.2
Alpharetta,GA,"Alpharetta, GA",16,1301696,65187,7868,133920,12.1,0.2
Atlanta,GA,"Atlanta, GA",80,1304000,492204,237206,69164,48.2,0.2
Austell,GA,"Austell, GA",2,1304252,8194,5075,59459,61.9,0.2
Bainbridge,GA,"Bainbridge, GA",3,1304896,14210,8088,40544,56.9,0.2
Barnesville,GA,"Barnesville, GA",1,1305344,6335,2953,37688,46.6,0.2
Baxley,GA,"Baxley, GA",1,1306016,4988,1195,28986,24,0.2
Carrollton,GA,"Carrollton, GA",6,1313492,26773,9750,44049,36.4,0.2
Cochran,GA,"Cochran, GA",1,1317328,5035,2530,27936,50.2,0.2
Dallas,GA,"Dallas, GA",3,1321324,13704,4212,50245,30.7,0.2
Decatur,GA,"Decatur, GA",4,1322052,24334,3785,123617,15.6,0.2
Dublin,GA,"Dublin, GA",3,1324376,16067,10851,34970,67.5,0.2
Duluth,GA,"Duluth, GA",6,1324600,31506,6496,77516,20.6,0.2
Eastman,GA,"Eastman, GA",1,1325552,5630,1308,34638,23.2,0.2
Eatonton,GA,"Eatonton, GA",1,1326084,6278,3400,40304,54.2,0.2
Ellenwood,GA,"Ellenwood, GA",9,30294,41037,35855,69876,87.4,0.2
Forsyth,GA,"Forsyth, GA",1,1330732,4370,2217,51757,50.7,0.2
Gainesville,GA,"Gainesville, GA",9,1331908,41730,6793,57258,16.3,0.2
Griffin,GA,"Griffin, GA",4,1335324,23300,12298,38972,52.8,0.2
Jackson,GA,"Jackson, GA",1,1341596,5435,2457,41739,45.2,0.2
Jesup,GA,"Jesup, GA",2,1342268,9902,2831,49315,28.6,0.2
Jonesboro,GA,"Jonesboro, GA",1,1342604,4492,2778,31033,61.8,0.2
Kingsland,GA,"Kingsland, GA",4,1343640,18217,4241,60787,23.3,0.2
LaGrange,GA,"LaGrange, GA",6,1344340,31053,16320,37007,52.6,0.2
Locust Grove,GA,"Locust Grove, GA",2,1347140,8816,3560,57799,40.4,0.2
Lovejoy,GA,"Lovejoy, GA",2,1347616,10208,8009,54232,78.5,0.2
McRae,GA,"McRae, GA",1,1349100,6212,2289,45729,36.8,0.2
