School,Name,Position,Class,Hometown,High School
Indiana,Lanell Carr Jr.,OLB,Sr.,"St. Louis, Mo.",De Smet Jesuit
Indiana,Andre Carter,DL,R-Sr.+,"Detroit, Mich.",Cass Tech
Indiana,DeQuece Carter,WR,Sr.+,"Louisa, Va.",Woodberry Forest School
Indiana,Jared Casey,LB,R-Sr.,"Louisville, Ky.",Ballard
Indiana,Aaron  Casey,LB,R-Sr.+,"Douglasville, Ga.",Alexander
Indiana,Anthony Chung,DB,Fr.,"Mequon, Wis.",Homestead
Indiana,Andison Coby,WR,Jr.,"Fort Lauderdale, Fla.",American Heritage
Indiana,Ta'Derius Collins,DL,Fr.,"Shreveport, La.",Northwood
Indiana,Clay Conner,DB,Fr.,"Boonville, Ind.",Boonville
Indiana,Omar Cooper Jr.,WR,R-Fr.,"Indianapolis, Ind.",Lawrence North
Indiana,LeDarrius Cox,DL,R-Sr.,"Mobile, Ala.",McGill-Toolen
Indiana,Phillip Dunnam,DB,So.,"Miami, Fla.",North Miami Beach
Indiana,Mitchell Evans,DB,R-Fr.,"Greenwood, Ind.",Center Grove
Indiana,Drew Evans,OL,R-Fr.,"Fort Atkinson, Wis.",Fort Atkinson
Indiana,James Evans,P,Jr.,"Auckland, New Zealand",Sacred Heart College Auckland
Indiana,Amare Ferrell,DB,Fr.,"Lake City, Fla.",Columbia
Indiana,Vincent Fiacable,OL,R-So.,"Fort Wayne, Ind.",Bishop Dwenger
Indiana,Brody Foley,TE,R-Fr.,"Cincinnati, Ohio",Anderson
Indiana,Chris Freeman,K,R-So.,"Zionsville, Ind.",Zionsville
Indiana,Orlando Greenlow,OLB,Fr.,"Lawndale, Calif.",Lawndale
Indiana,Jack Greer,OL,R-Fr.,"Fishers, Ind.",Hamilton Southeastern
Indiana,Jordan Grier,DB,Jr.,"Ellenwood, Ga.",Cedar Grove
Indiana,Robby Harrison,DL,R-Fr.,"Greenwood, S.C.",Emerald
Indiana,Bryce Hendershot,TE,Fr.,"North Salem, Ind.",Tri-West
Indiana,Josh Henderson,RB,Sr.+,"Pennington, N.J.",The Hun School
Indiana,Matt Hohlt,LB,R-So.,"Greenwood, Ind.",Center Grove
Indiana,Connor Hole,DB,R-Jr.,"Jamestown, Ind.",Western Boone
Indiana,David Holloman,RB,R-So.,"Auburn Hills, Mich.",Avondale
Indiana,Trent Howland,RB,R-So.,"Joliet, Ill.",Joliet West
Indiana,Tayven Jackson,QB,R-Fr.,"Greenwood, Ind.",Center Grove
Indiana,Myles Jackson,OLB,R-Jr.,"Atlanta, Ga.",Mill Creek
Indiana,Nick James,DL,R-Fr.,"Platville, Ala.",IMG Academy (Fla.)
Indiana,Bubba Jeffries,OL,Fr.,"Greenback, Tenn.",Alcoa
Indiana,Eli Jochem,WR,R-So.,"Gibsonia, Pa.",Pine-Richland
Indiana,JoJo Johnson,DB,R-So.,"Merrillville, Ind.",Merrillville
Indiana,Jamier Johnson,DB,Jr.,"Pasadena, Calif.",John Muir
Indiana,Anthony Jones,OLB,R-Fr.,"Las Vegas, Nev.",Liberty
Indiana,Isaiah Jones,LB,R-Fr.,"London, Ohio",London
Indiana,Cooper Jones,OL,R-So.,"Valparaiso, Ind.",Valparaiso
Indiana,Camden Jordan,WR,R-So.,"Carmel, Ind.",Cathedral
Indiana,Julian Kameristy,DL,R-So.,"Chicago, Ill.",IMG Academy (Fla.)
Indiana,Mike Katic,OL,R-Sr.,"Pittsburgh, Pa.",Pine-Richland
Indiana,Jamison Kelly,DB,Sr.,"Columbia, Miss.",Columbia
Indiana,Trey Laing,DL,Sr.+,"Tallahassee, Fla.",Godby
Indiana,Will Larkins,OL,Fr.,"Hollywood, Fla.",Chaminade-Madonna Prep
Indiana,Max Longman,OL,R-Sr.,"Portage, Mich.",Portage Central
Indiana,Broc Lowry,QB,Fr.,"Canfield, Ohio",Canfield
Indiana,Reece Lozano,RB,R-Fr.,"Bloomington, Ind.",Bloomington North
Indiana,Jaylin Lucas,RB/RS,So.,"Houma, La.",Edna Karr
Indiana,Patrick Lucas Jr.,DL,R-Sr.,"Prattville, Ala.",Wetumpka
Indiana,Bray Lynch,OL,R-Fr.,"Austin, Texas",Westlake
Indiana,Jacob Mangum-Farrar,LB,R-Sr.+,"Sugar Land, Texas",Kempner
Indiana,Donaven McCulley,WR,Jr.,"Indianapolis, Ind.",Lawrence North
Indiana,Derin McCulley,WR,R-Jr.,"Indianapolis, Ind.",Lawrence North
Indiana,Tyrik McDaniel,DB,R-Jr.,"Columbia, S.C.",Dutch Fork
Indiana,Blaze McKibbin,QB,R-Jr.,"Santa Monica, Calif.",Servite
Indiana,Declan McMahon,RB,R-Fr.,"Brooklyn, N.Y.",Poly Prep Country Day School
Indiana,Jaxon Miller,LS,R-Fr.,"Indianapolis, Ind.",Triton Central
Indiana,Anthony Miller Jr.,TE,Fr.,"Duluth, Ga.",Duluth
Indiana,Kobee Minor,DB,R-Jr.,"Dallas, Texas",Lake Dallas
Indiana,Darryl Minor Jr.,LB,Sr.,"Dallas, Texas",Lake Dallas
Indiana,James Monds III,DB,R-Fr.,"Fort Pierce, Fla.",Vero Beach
Indiana,J'mari Monette,DL,R-Fr.,"Alexandria, La.",Alexandria
Indiana,Louis Moore,DB,Sr.,"Mesquite, Texas",Poteet
Indiana,Drew Pearce,DB,R-So.,"Tipton, Ind.",Tipton
Indiana,Kamryn Perry,WR,R-Fr.,"Atlanta, Ga.",Marietta
Indiana,Noah Pierre,DB,R-Sr.+,"Miami, Fla.",Champagnat Catholic
Indiana,Roman Purcell,QB,R-So.,"Bedminster, N.J.",Indian Creek (Ind.)
Indiana,Alejandro Quintero,P,R-So.,"Tyler, Texas",Grace Community
Indiana,Nicolas Radicic,K,Fr.,"Coppell, Texas",Coppell
Indiana,Joshua Rudolph,LB,Jr.,"Montgomery, Ala.",Park Crossing
Indiana,Joshua Sales Jr.,OL,R-So.,"South Bend, Ind.",Brownsburg
Indiana,Josh Sanguinetti,DB,R-Sr.,"Lauderdale Lakes, Fla.",University School
Indiana,Jackson Schott,OLB,R-So.,"Greenwood, Ind.",Center Grove
Indiana,Zac Scott,TE,R-Sr.,"San Antonio, Texas",La Vernia
Indiana,Jamari Sharpe,DB,R-Fr.,"Miami, Fla.",Northwestern
Indiana,Jordan Shaw,DB,Fr.,"Downey, Calif.",St. Pius X-St. Matthias Academy
Indiana,Brady Simmons,WR,R-Fr.,"Indianapolis, Ind.",Ben Davis
Indiana,Jaquez Smith,WR,R-So.,"Atlanta, Ga.",Westlake
Indiana,Carter Smith,OL,R-Fr.,"Powell, Ohio",Olentangy Liberty
Indiana,Venson Sneed Jr.,DL,R-Fr.,"Wabasso, Fla.",Winter Park
Indiana,Brendan Sorsby,QB,R-Fr.,"Denton, Texas",Lake Dallas
Indiana,Aaron Steinfeldt,TE,R-So.,"Bloomington, Ind.",Bloomington North
Indiana,Aaron Stewart,DB,R-Fr.,"Fort Wayne, Ind.",Carroll
Indiana,Race Stewart,DL,R-So.,"Bloomington, Ind.",Bloomington North
Indiana,Sam Tallen,LB,R-Fr.,"Bloomington, Ill.",Northwest Prep
Indiana,Nic Toomer,DB,R-Jr.,"Tyrone, Ga.",Sandy Creek
Indiana,Xavier Trueblood,LB,R-Jr.,"Bloomington, Ind.",Bloomington North
Indiana,Kaiden Turner,LB,R-Fr.,"Fayetteville, Ark.",Fayetteville
Indiana,Christian Turner,RB,R-Sr.+,"Buford, Ga.",Buford
Indiana,Andrew Turvy,OLB,R-So.,"Carmel, Ind.",Carmel
Indiana,Jeff Utzinger,LB,R-Fr.,"Carmel, Ind.",Cathedral
Indiana,Trey Walker,TE,R-Sr.,"Winnetka, Ill.",New Trier
Indiana,Finn Walters,OLB,Fr.,"Indianapolis, Ind.",Brebeuf Jesuit
Indiana,Jackson Wasserstrom,WR,R-Fr.,"Westfield, Ind.",Westfield
Indiana,Daniel Weems,RB,So.,"Greenwood, Ind.",Center Grove
Indiana,Sam West,TE,Fr.,"Greensburg, Ind.",Greensburg Community
Indiana,Max Williams,OL,R-Fr.,"Lebanon, Ind.",Lebanon
Indiana,Dexter Williams II,QB,R-Jr.,"Macon, Ga.",Mount de Sales Academy
Indiana,E.J. Williams Jr.,WR,Sr.,"Phenix City, Ala.",Central
Indiana,Josh Witt,OL,So.,"Green Bay, Wis.",Ashwaubenon
Indiana,Sean Wracher,LS,Sr.+,"Akron, Ohio",Saint Ignatius
University of Maryland,Neeo Avery,LB,Fr.,"Glen Burnie, MD",Good Counsel
University of Maryland,Tyrese Chambers,WR,Gr.,"Baltimore, MD",Baltimore Poly
University of Maryland,Jaishawn Barham,LB,So.,"District Heights, MD",St. Frances Academy
University of Maryland,Kaden Prather,WR,Jr.,"Montgomery Village, MD",Northwest
University of Maryland,Beau Brade,DB,Sr.,"Clarksville, MD",River Hill
